Name,OdhId,SeasonCode,CleanMethodId,RegTimeStart,RegTimeEnd,WeatherConditionId,Weigth,DayOperationCount,AttachmentId,CheckTypeId,MachineTypeId
Выборочная обработка комбинированными ПГМ,3,1,1,,,5,1,0,1,7,29
Вывоз снега,3,1,1,,,5,6,1,1,7,27
Вывоз снега,3,1,1,,,5,6,1,,7,
Сплошная обработка комбинированными ПГМ,3,1,1,,,4,,0,8,1,29
Сплошное подметание,3,1,1,,,3,,1,8,1,2
Сплошное подметание,3,1,1,,,3,,1,8,1,3
Сплошное подметание,3,1,1,,,3,,1,8,1,5
Сплошное подметание,3,1,1,,,3,,1,,1,7
Сплошное подметание,3,1,1,,,3,,1,10,1,29
Выборочная обработка комбинированными ПГМ,3,1,2,,,3,1,0,,7,
Выборочное подметание,30,1,2,,,,,1,,7,
Очистка урн от мусора,28,1,2,,,,,2,,7,
Сбор случайного мусора,30,1,2,,,,,1,,7,
Сгребание,30,1,2,,,4,,1,8,7,
Антипрометание,21,1,1,,,,,0,8,5,2
Антипрометание,21,1,1,,,,,0,8,5,3
Антипрометание,21,1,1,,,,,0,8,5,5
Антипрометание,21,1,1,,,,,0,13,5,7
Выборочная обработка жидкими ПГМ,21,1,1,,,,,0,13,7,1
Выборочная обработка жидкими ПГМ,21,1,1,,,,,0,13,7,3
Выборочная обработка жидкими ПГМ,21,1,1,,,,,0,10,7,8
Выборочная обработка комбинированными ПГМ,25,1,1,,,3,1,0,10,7,29
Выборочная обработка твердыми ПГМ,21,1,1,,,3,,0,10,7,4
Выборочная обработка твердыми ПГМ,21,1,1,,,3,,0,10,7,6
Выборочная обработка твердыми ПГМ,21,1,1,,,3,,0,10,7,7
Выборочная обработка твердыми ПГМ,21,1,1,,,3,,0,10,7,8
Выборочная обработка щебнем,21,1,1,,,,,0,8,7,26
Выборочное подметание тротуаров,25,1,1,,,,,0,1,7,29
Вывоз снега,,1,1,,,5,6,1,1,7,
Вывоз снега,,1,1,,,5,6,1,1,7,27
Вывоз снега,,1,1,,,5,6,1,1,7,28
Вывоз снега,,1,1,,,5,6,1,1,7,
Вывоз снега,,1,1,,,5,6,1,,7,
Перекидка ротором снежных валов,12,1,1,,,3,,0,,7,25
Расчистка от снега обочин,15,1,1,,,3,5,1,13,7,
Сплошная обработка жидкими ПГМ,21,1,1,,,,,0,,3,1
Сплошная обработка жидкими ПГМ,21,1,1,,,,,0,13,3,3
Сплошная обработка жидкими ПГМ,21,1,1,,,,,0,,3,8
Сплошная обработка комбинированными ПГМ тротуаров,25,1,1,,,,,0,14,4,29
Сплошная обработка твердыми ПГМ,21,1,1,,,,,0,14,3,4
Сплошная обработка твердыми ПГМ,21,1,1,,,,,0,14,3,6
Сплошная обработка твердыми ПГМ,21,1,1,,,,,0,14,3,7
Сплошная обработка твердыми ПГМ,21,1,1,,,,,0,14,3,8
Сплошная обработка твердыми ПГМ,21,1,1,,,,,0,14,3,26
Сплошная обработка щебнем,21,1,1,,,,,0,14,3,4
Сплошная обработка щебнем,21,1,1,,,,,0,14,3,7
Сплошная обработка щебнем,21,1,1,,,,,0,14,3,7
Сплошная обработка щебнем,21,1,1,,,,,0,14,3,4
Сплошная обработка щебнем,21,1,1,,,,,0,14,3,6
Сплошная обработка щебнем,21,1,1,,,,,0,14,3,7
Сплошная обработка щебнем,21,1,1,,,,,0,,3,8
Сплошная обработка щебнем,21,1,1,,,,,0,8,3,26
Сплошное подметание,12,1,1,,,,,1,8,5,5
Сплошное подметание,12,1,1,,,,,1,,5,6
Сплошное подметание,12,1,1,,,,,1,,5,23
Сплошное подметание,12,1,1,,,,,1,8,5,24
Сплошное подметание,21,1,1,,,,,0,,3,2
Сплошное подметание,25,1,1,,,,,0,,4,29
Зачистка лотковой части,12,1,2,,,4,5,1,,7,
Очистка урн от мусора,17,1,2,,,,,2,,7,
Сбор случайного мусора,25,1,2,,,,,1,,7,
Сбор случайного мусора,15,1,2,,,,,1,,7,
Сбор случайного мусора,17,1,2,,,,,1,,7,
Уборка элементов обустройства ОДХ,14,1,3,,,,,0,14,7,
Сдвигание снега на откосы,15,1,1,,,5,3,0,14,7,13
Сдвигание снега на откосы,15,1,1,,,5,3,1,14,7,2
Сдвигание снега на откосы,15,1,1,,,5,3,2,14,7,3
Сдвигание снега на откосы,15,1,1,,,5,3,3,14,7,
Сдвигание снега на откосы,15,1,1,,,5,3,4,,7,7
Мойка элементов обустройства ОДХ с применением КМС,14,1,3,23:00,7:00,,5,0,,7,
Мойка элементов обустройства ОДХ с применением КМС,24,1,3,23:00,7:00,,5,0,,7,
Перевозка людей для обеспечения выполнения дорожно-ремонтных работ,,,3,,,,,0,,7,
Транспортировка реагентов,,,3,,,,,0,,7,
Транспортировка реагентов,,,3,,,,,0,,7,
Транспортировка реагентов,,,3,,,,,0,,7,15
Транспортировка реагентов,,,3,,,,,0,,7,1
Транспортировка реагентов,,,3,,,,,0,,7,2
Транспортировка реагентов,,,3,,,,,0,,7,3
Транспортировка реагентов,,,3,,,,,0,,7,4
Транспортировка реагентов,,,3,,,,,0,6,7,27
Сплошная мойка,25,1,1,23:00,7:00,,,1,6,4,29
Сплошная мойка,12,1,1,23:00,7:00,,,2,6,5,1
Сплошная мойка,12,1,1,23:00,7:00,,,2,6,5,2
Сплошная мойка,12,1,1,23:00,7:00,,,2,6,5,3
Сплошная мойка,12,1,1,23:00,7:00,,,2,6,5,4
Сплошная мойка,12,1,1,23:00,7:00,,,2,,5,9
"Формирование снежных валов, расчистка снега",3,1,1,,,5,4,0,,1,16
"Формирование снежных валов, расчистка снега",3,1,1,,,5,4,0,,1,
"Формирование снежных валов, расчистка снега",3,1,1,,,5,4,0,,1,
"Формирование снежных валов, расчистка снега",12,1,1,,,5,4,0,,5,16
"Формирование снежных валов, расчистка снега",12,1,1,,,5,4,0,,5,
"Формирование снежных валов, расчистка снега",12,1,1,,,5,4,0,,5,
Уборка мест сбора отходов,13,1,2,,,,,0,,7,
